ra,dec,z,petroMag_r
229.01131,0.25509856,0.1177561,17.78422
221.30472,0.41415439,0.1181738,17.27132
190.00438,0.34922043,0.1177181,17.51282
172.98549,0.40349991,0.1182473,17.23091
157.70253,0.40302253,0.117737,17.06583
152.60334,0.37614892,0.1181173,17.62207
132.64243,0.21458928,0.04142756,17.32315
127.18364,0.41251577,0.08493202,17.18386
222.81599,-0.16328515,0.04266208,16.83356
217.41078,-0.022566158,0.08519468,17.76994
214.81513,-0.14547363,0.08489665,17.58593
196.14739,-0.054506249,0.08471638,17.49736
174.63925,-0.055442763,0.1185552,16.99833
162.05795,-0.14745467,0.08479204,17.27283
157.35404,-0.11667047,0.1183102,17.54558
229.34716,-0.55888693,0.117943,17.43335
228.8522,-0.49433114,0.1185375,17.15684
222.73124,-0.49239228,0.04258141,15.14405
222.66574,-0.47498042,0.04248503,16.77702
215.86268,-0.42249172,0.0847495,16.25637
214.5837,-0.62076284,0.08504657,17.30165
214.37528,-0.49579314,0.08463659,16.78284
198.03909,-0.61432882,0.08491365,16.8548
197.28867,-0.61335408,0.08467296,16.31304
195.87,-0.44433623,0.08475516,17.10314
195.32349,-0.46346382,0.08496289,17.54992
195.12136,-0.58156515,0.08523381,17.36502
189.39286,-0.55504427,0.08487605,17.53496
174.52012,-0.53857271,0.1182681,17.07197
174.47646,-0.54980357,0.1177598,17.25588
